spatial_id;votes;invalid;valid;oevp;spoe;fpoe;gruene;bzoe;neos;rekos;anders;eustop
G20724;1181;40;1141;218;331;229;163;23;107;15;17;38
G20725;2434;98;2336;450;709;485;303;33;191;30;29;106
G20726;962;36;926;117;404;218;71;18;43;7;8;40
G20727;1515;48;1467;188;516;374;167;26;83;11;13;89
G20799;2121;51;2070;321;676;353;332;43;190;28;44;83
G20800;13348;436;12912;2761;4973;2072;1331;165;811;87;161;551
G20801;1029;34;995;235;342;163;103;11;77;10;18;36
G20802;306;14;292;115;80;51;18;3;13;3;0;9
G20803;1564;51;1513;248;657;252;150;24;83;8;21;70
G20804;812;26;786;111;412;81;73;7;45;4;17;36
G20805;632;11;621;77;225;90;103;5;77;6;6;32
G20806;510;16;494;98;180;89;55;4;32;8;2;26
G20807;465;8;457;69;177;59;73;5;46;2;4;22
G20808;976;29;947;330;251;179;81;16;38;4;8;40
G20810;311;6;305;80;105;52;18;11;13;3;5;18
G20812;464;20;444;104;185;84;32;6;14;2;3;14
G20813;1355;47;1308;234;576;212;134;16;65;5;18;48
G20815;636;21;615;124;234;92;62;9;63;0;5;26
G20817;3026;132;2894;618;1149;535;255;36;136;22;35;108
G20899;1262;21;1241;318;400;133;174;12;109;10;19;66
G20900;15502;507;14995;3634;4996;3276;1177;178;797;198;142;597
G20901;1075;28;1047;328;327;202;76;6;44;30;11;23
G20905;812;35;777;232;267;158;32;8;25;7;7;41
G20909;726;29;697;189;269;148;28;7;20;6;6;24
G20911;305;7;298;120;74;64;14;3;12;7;0;4
G20912;470;19;451;138;110;92;34;5;35;20;2;15
G20913;2431;79;2352;528;829;573;136;26;107;28;24;101
G20914;472;15;457;114;150;122;21;12;21;3;5;9
G20918;1024;27;997;313;298;220;72;15;31;6;6;36
G20923;6863;240;6623;1397;2226;1471;630;74;381;76;64;304
G20999;1324;28;1296;275;446;226;134;22;121;15;17;40
G21000;8512;256;8256;1628;2518;1997;864;135;518;123;104;369
G21001;293;12;281;78;43;105;17;5;7;2;4;20
G21002;3157;90;3067;535;965;736;328;52;197;60;57;137
G21003;537;19;518;113;196;109;42;7;29;6;1;15
G21004;315;15;300;74;85;76;30;3;11;3;1;17
G21005;654;36;618;141;138;200;43;12;44;9;6;25
G21006;270;6;264;66;48;80;35;1;21;2;2;9
G21007;444;16;428;93;180;88;14;5;13;7;3;25
G21008;332;9;323;58;88;91;42;8;22;3;2;9
G21009;1072;25;1047;210;293;262;127;22;54;13;10;56
G21010;355;9;346;87;119;67;27;6;21;5;3;11
G21099;1083;19;1064;173;363;183;159;14;99;13;15;45
G30000;702716;28872;673844;222078;154919;128076;75257;2335;50085;7813;11399;21882
