spatial_id;votes;invalid;valid;oevp;spoe;fpoe;gruene;kpoe;gvp;rwa;lif
1007;259;0;259;120;39;33;25;41;1;0;0
1008;318;5;313;133;63;16;44;55;1;0;1
1009;293;2;291;129;37;20;36;66;2;0;1
1010;250;0;250;104;52;15;24;50;1;1;3
1011;274;0;274;127;50;31;31;32;1;1;1
1101;299;1;298;193;35;33;8;29;0;0;0
1102;326;0;326;180;47;15;33;49;2;0;0
1103;265;3;262;104;50;14;28;62;2;0;2
1104;330;4;326;151;39;12;62;60;0;0;2
1105;361;0;361;172;50;17;42;77;3;0;0
1106;320;13;307;153;33;33;39;49;0;0;0
1107;330;5;325;179;36;25;32;52;0;0;1
1108;288;1;287;139;35;27;37;44;3;0;2
1109;373;4;369;158;48;23;50;83;1;1;5
1110;290;1;289;141;37;33;25;52;0;0;1
1111;291;2;289;130;39;12;36;67;4;0;1
1112;300;0;300;165;28;20;27;57;2;0;1
1113;266;2;264;136;21;27;23;56;0;0;1
1201;278;1;277;141;47;18;20;46;0;2;3
1202;300;6;294;156;58;20;14;43;1;1;1
1203;353;1;352;143;92;26;18;69;1;1;2
1204;320;2;318;121;68;31;31;63;2;2;0
1205;294;0;294;119;69;23;25;58;0;0;0
1206;244;0;244;119;55;19;16;32;1;0;2
1207;276;0;276;113;69;14;21;56;1;0;2
1208;303;2;301;141;50;19;20;67;3;0;1
1209;311;2;309;131;72;15;27;63;1;0;0
1210;266;3;263;111;50;20;18;59;0;4;1
1211;347;2;345;145;61;19;31;88;0;0;1
1212;295;1;294;131;62;31;22;44;2;0;2
1213;301;0;301;118;63;9;34;73;1;1;2
1214;293;0;293;111;64;19;38;59;0;2;0
1215;306;1;305;125;59;25;35;57;2;2;0
1216;243;0;243;74;79;11;17;57;1;0;4
1217;279;1;278;115;60;28;24;49;2;0;0
1218;344;1;343;127;82;23;37;72;0;1;1
1219;331;6;325;131;62;20;35;74;1;0;2
1220;294;1;293;100;78;35;25;49;1;4;1
1221;261;1;260;105;62;19;21;50;2;0;1
1222;327;2;325;137;77;20;33;56;0;1;1
1223;272;1;271;107;71;26;25;42;0;0;0
1224;264;0;264;86;78;9;32;59;0;0;0
1225;294;10;284;103;83;16;27;53;1;1;0
1226;230;1;229;98;80;14;11;26;0;0;0
1227;229;3;226;56;84;18;11;56;1;0;0
1228;279;3;276;101;89;27;16;42;0;0;1
1229;250;2;248;105;69;18;12;42;2;0;0
1230;245;11;234;63;45;13;51;61;0;0;1
1301;212;1;211;58;92;14;9;37;1;0;0
1302;271;2;269;83;80;20;15;68;1;0;2
1303;274;2;272;90;78;35;16;45;1;1;6
1304;201;2;199;49;76;25;5;44;0;0;0
1305;303;3;300;146;57;26;15;56;0;0;0
1306;231;0;231;76;74;22;4;49;2;3;1
1307;227;9;218;39;91;29;8;51;0;0;0
1308;221;0;221;30;94;32;6;57;0;2;0
1309;242;9;233;68;78;26;15;46;0;0;0
1310;264;3;261;77;64;41;15;63;1;0;0
1311;314;2;312;113;84;19;42;53;0;0;1
1312;322;2;320;135;78;22;19;62;0;1;3
1313;246;2;244;85;82;22;15;39;1;0;0
1314;249;0;249;91;58;27;24;48;1;0;0
1315;289;9;280;106;51;21;47;53;1;1;0
1316;183;1;182;35;70;22;17;33;2;1;2
1317;168;0;168;66;56;14;8;18;1;3;2
1401;248;1;247;70;68;29;9;70;0;1;0
1402;226;3;223;79;77;14;11;39;0;1;2
1403;241;4;237;62;92;8;11;62;0;1;1
1404;274;1;273;71;75;20;22;83;0;1;1
1405;213;1;212;54;88;17;9;43;0;1;0
1406;235;6;229;53;106;16;9;43;1;0;1
1407;233;1;232;56;75;15;15;69;0;0;2
1408;247;0;247;111;66;15;16;39;0;0;0
1409;238;1;237;84;64;12;19;58;0;0;0
1410;286;0;286;101;80;23;25;56;1;0;0
1411;288;3;285;114;68;25;17;58;0;3;0
1412;317;0;317;129;86;16;34;49;0;1;2
1413;273;0;273;112;70;32;16;39;1;3;0
1414;299;12;287;92;85;22;21;65;0;2;0
1415;233;1;232;57;96;16;6;52;0;3;2
1416;270;2;268;76;94;25;27;42;0;2;2
1417;243;3;240;62;102;13;12;51;0;0;0
1418;257;2;255;124;51;13;19;43;0;3;2
1419;326;11;315;128;76;12;41;54;0;2;2
1420;297;0;297;117;61;23;25;68;2;0;1
1421;228;4;224;57;84;16;18;47;0;1;1
1422;287;0;287;94;81;18;23;66;0;2;3
1423;225;1;224;43;105;9;15;51;0;1;0
1424;205;15;190;54;65;14;12;43;0;2;0
1425;236;2;234;92;66;12;13;48;0;2;1
1426;213;3;210;54;76;13;13;51;0;3;0
1427;254;4;250;85;69;30;18;46;0;1;1
1428;292;1;291;96;83;9;31;66;2;1;3
1429;241;2;239;51;77;21;12;77;0;1;0
1501;240;1;239;88;69;17;9;51;3;1;1
1502;282;0;282;120;85;22;6;46;1;2;0
1503;261;25;236;64;112;12;8;39;0;1;0
1504;287;2;285;61;134;14;12;61;0;1;2
1505;201;1;200;34;97;14;4;49;1;1;0
1506;256;11;245;72;102;15;6;46;2;2;0
1507;297;1;296;84;95;24;20;73;0;0;0
1508;243;0;243;57;64;29;9;79;1;4;0
1509;228;0;228;51;75;31;8;62;0;0;1
1510;238;0;238;83;68;24;6;51;4;2;0
1511;213;0;213;79;49;21;7;53;2;2;0
1512;283;1;282;135;65;18;27;36;0;0;1
1513;231;3;228;62;87;27;6;46;0;0;0
1514;222;2;220;36;120;15;1;46;0;1;1
1515;241;0;241;64;83;24;9;56;2;2;1
1516;233;1;232;85;81;13;11;39;1;2;0
1517;269;0;269;103;72;20;17;54;0;1;2
1518;281;3;278;112;69;21;11;60;3;1;1
1519;352;3;349;130;89;29;30;67;3;0;1
1520;351;1;350;108;91;27;27;92;2;2;1
1521;311;0;311;74;105;32;28;70;1;0;1
1522;272;9;263;93;68;26;13;61;1;0;1
1601;249;3;246;89;79;14;8;55;0;0;1
1602;248;2;246;47;126;7;6;56;0;2;2
1603;243;3;240;82;81;12;11;50;0;2;2
1604;188;1;187;62;66;14;13;26;0;5;1
1605;237;2;235;118;54;20;12;30;0;1;0
1606;276;0;276;159;48;19;14;34;0;0;2
1607;210;2;208;79;80;14;8;25;1;1;0
1608;269;9;260;113;72;33;7;33;0;1;1
1609;403;3;400;142;138;23;31;62;1;2;1
1610;270;1;269;57;106;21;16;67;1;0;1
1611;276;1;275;123;61;21;10;59;0;0;1
1612;258;4;254;90;69;19;25;49;0;1;1
1613;270;1;269;78;108;19;10;53;1;0;0
1614;295;1;294;75;117;22;13;67;0;0;0
1615;321;1;320;100;108;31;16;61;0;4;0
