spatial_id;votes;invalid;valid;spoe;oevp;kpoe;gruene;fpoe;bzoe;weg;oeabp;salz;zpa
1608;353;0;353;62;135;45;30;49;28;1;1;1;1
1609;460;3;457;108;168;43;52;58;24;1;2;1;0
1610;420;7;413;112;152;35;32;64;13;3;1;1;0
1611;465;5;460;111;155;44;36;80;32;0;2;0;0
1612;356;8;348;97;139;37;22;36;12;0;2;1;2
1613;372;6;366;130;104;30;25;61;15;0;0;1;0
1614;539;6;533;90;247;26;60;74;33;0;2;1;0
1701;414;16;398;84;128;53;46;59;23;1;3;0;1
1702;392;1;391;98;129;32;34;70;27;0;1;0;0
1703;320;6;314;79;104;15;19;67;27;0;2;0;1
1704;395;8;387;83;150;39;28;55;28;1;1;1;1
1705;341;8;333;84;126;28;17;50;27;0;0;1;0
1706;408;5;403;97;149;36;29;66;21;0;4;0;1
1707;420;5;415;111;126;31;28;84;31;1;0;0;3
2798;3027;32;2995;534;1365;273;515;189;95;5;11;5;3
2799;7413;186;7227;1390;3313;623;967;677;220;11;15;4;7
